iter	Passed	Remaining
486	650	684
487	651	683
488	653	682
489	654	681
490	655	679
491	656	678
492	658	677
493	659	676
494	661	674
495	662	673
496	664	672
497	665	671
498	667	670
499	668	668
500	670	667
501	671	666
502	672	664
503	674	663
504	676	662
505	677	661
506	678	659
507	680	658
508	681	657
509	683	656
510	684	655
511	685	653
512	687	652
513	688	651
514	690	650
515	692	649
516	693	648
517	695	647
518	697	646
519	698	645
520	700	643
521	701	642
522	702	640
523	703	639
524	705	638
525	707	637
526	708	635
527	709	634
528	711	633
529	712	631
530	714	630
531	715	629
532	716	627
533	717	626
534	719	625
535	720	623
536	722	622
537	723	621
538	724	619
539	725	618
540	727	617
541	728	615
542	730	614
543	731	613
544	732	611
545	733	610
546	735	609
547	736	607
548	738	606
549	739	604
550	740	603
551	742	602
552	743	601
553	744	599
554	746	598
555	747	596
556	749	595
557	750	594
558	752	593
559	753	592
560	755	590
561	756	589
562	757	588
563	759	586
564	760	585
565	761	584
566	763	582
567	764	581
568	766	580
569	767	579
570	769	577
571	770	576
572	771	575
573	773	573
574	774	572
575	776	571
576	777	569
577	778	568
578	779	567
579	781	565
580	783	564
581	784	563
582	785	562
583	787	560
584	788	559
585	790	558
586	792	557
587	794	556
588	795	555
589	796	553
590	798	552
591	799	551
592	800	549
593	802	548
594	803	547
595	805	545
596	806	544
597	807	542
598	808	541
599	810	540
600	811	538
601	812	537
602	814	536
603	815	534
604	816	533
605	817	531
606	819	530
607	820	529
608	822	527
609	823	526
610	824	525
611	825	523
612	827	522
613	829	521
614	830	519
615	831	518
616	832	516
617	833	515
618	835	514
619	836	512
620	837	511
621	839	509
622	840	508
623	841	507
624	843	505
625	844	504
626	845	503
627	847	501
628	848	500
629	849	499
630	851	497
631	852	496
632	853	495
633	855	493
634	856	492
635	857	491
636	859	489
637	860	488
638	862	487
639	863	485
640	865	484
641	866	483
642	868	481
643	869	480
644	870	479
645	872	477
646	873	476
647	874	475
648	876	473
649	877	472
650	878	471
651	880	469
652	881	468
653	883	467
654	884	465
655	885	464
656	886	462
657	888	461
658	889	460
659	891	459
660	892	457
661	893	456
662	895	454
663	896	453
664	897	452
665	899	450
666	900	449
667	901	448
668	902	446
669	904	445
670	905	444
671	907	442
672	908	441
673	909	439
674	911	438
675	912	437
676	914	436
677	915	434
678	916	433
679	917	431
680	919	430
681	921	429
682	922	428
683	923	426
684	924	425
685	926	423
686	927	422
687	928	421
688	930	419
689	931	418
690	932	417
691	933	415
692	935	414
693	936	412
694	938	411
695	939	410
696	940	408
697	942	407
698	943	406
699	945	405
700	946	403
701	947	402
702	948	400
703	950	399
704	951	398
705	952	396
706	954	395
707	955	394
708	956	392
709	958	391
710	959	390
711	961	388
712	962	387
713	963	385
714	964	384
715	966	383
716	967	381
717	968	380
718	970	379
719	971	377
720	973	376
721	974	375
722	975	373
723	977	372
724	978	371
725	979	369
726	981	368
727	982	367
728	983	365
729	985	364
730	986	362
731	987	361
732	989	360
733	990	358
734	991	357
735	992	356
736	994	354
737	995	353
738	996	352
739	998	350
740	999	349
741	1000	347
742	1001	346
743	1003	345
744	1004	343
745	1006	342
746	1007	341
747	1008	339
748	1009	338
749	1010	336
750	1012	335
751	1013	334
752	1014	332
753	1016	331
754	1017	330
755	1018	328
756	1020	327
757	1021	326
758	1022	324
759	1023	323
760	1025	321
761	1026	320
762	1027	319
763	1028	317
764	1030	316
765	1031	315
766	1032	313
767	1033	312
768	1035	310
769	1036	309
770	1037	308
771	1038	306
772	1040	305
773	1041	304
774	1043	302
775	1044	301
776	1045	300
777	1047	298
778	1048	297
779	1049	295
780	1050	294
781	1052	293
782	1053	291
783	1054	290
784	1055	289
785	1056	287
786	1058	286
787	1059	284
788	1060	283
789	1061	282
790	1062	280
791	1063	279
792	1065	278
793	1066	276
794	1067	275
795	1069	274
796	1070	272
797	1071	271
798	1073	269
799	1074	268
800	1075	267
801	1077	265
802	1078	264
803	1079	263
804	1080	261
805	1082	260
806	1083	259
807	1084	257
808	1085	256
809	1086	254
810	1087	253
811	1089	252
812	1090	250
813	1091	249
814	1092	248
815	1093	246
816	1095	245
817	1096	244
818	1098	242
819	1099	241
820	1100	239
821	1101	238
822	1102	237
823	1104	235
824	1105	234
825	1106	233
826	1107	231
827	1108	230
828	1110	228
829	1111	227
830	1112	226
831	1114	224
832	1115	223
833	1116	222
834	1117	220
835	1118	219
836	1120	218
837	1121	216
838	1122	215
839	1123	214
840	1124	212
841	1125	211
842	1127	209
843	1128	208
844	1129	207
845	1130	205
846	1132	204
847	1133	203
848	1134	201
849	1135	200
850	1137	199
851	1138	197
852	1139	196
853	1141	195
854	1143	193
855	1144	192
856	1145	191
857	1146	189
858	1147	188
859	1149	187
860	1150	185
861	1151	184
862	1153	183
863	1154	181
864	1155	180
865	1156	178
866	1158	177
867	1159	176
868	1160	174
869	1161	173
870	1162	172
871	1164	170
872	1165	169
873	1166	168
874	1168	166
875	1169	165
876	1170	164
877	1171	162
878	1173	161
879	1174	160
880	1175	158
881	1176	157
882	1177	156
883	1179	154
884	1180	153
885	1181	152
886	1182	150
887	1184	149
888	1185	147
889	1186	146
890	1187	145
891	1189	143
892	1190	142
893	1191	141
894	1192	139
895	1193	138
896	1195	137
897	1196	135
898	1197	134
899	1199	133
900	1200	131
901	1201	130
902	1202	129
903	1203	127
904	1205	126
905	1206	125
906	1207	123
907	1208	122
908	1209	121
909	1210	119
910	1212	118
911	1213	117
912	1214	115
913	1215	114
914	1217	113
915	1218	111
916	1219	110
917	1220	109
918	1221	107
919	1223	106
920	1224	105
921	1225	103
922	1226	102
923	1228	101
924	1229	99
925	1230	98
926	1231	97
927	1233	95
928	1234	94
929	1235	93
930	1236	91
931	1238	90
932	1239	88
933	1240	87
934	1241	86
935	1243	85
936	1244	83
937	1245	82
938	1246	80
939	1247	79
940	1249	78
941	1250	76
942	1251	75
943	1253	74
944	1254	72
945	1255	71
946	1256	70
947	1257	68
948	1259	67
949	1260	66
950	1261	64
951	1262	63
952	1263	62
953	1265	60
954	1266	59
955	1267	58
956	1268	57
957	1270	55
958	1271	54
959	1272	53
960	1273	51
961	1274	50
962	1276	49
963	1277	47
964	1278	46
965	1279	45
966	1280	43
967	1282	42
968	1283	41
969	1284	39
970	1285	38
971	1286	37
972	1287	35
973	1289	34
974	1290	33
975	1291	31
976	1293	30
977	1294	29
978	1295	27
979	1296	26
980	1297	25
981	1299	23
982	1300	22
983	1301	21
984	1302	19
985	1304	18
986	1305	17
987	1306	15
988	1308	14
989	1309	13
990	1310	11
991	1311	10
992	1313	9
993	1314	7
994	1315	6
995	1317	5
996	1318	3
997	1319	2
998	1320	1
999	1322	0
